yr;school_id;id;name;nomcl;coef_bel;coef_mat;subj1_id;subj2_id
2017;2213350;3501;Системно програмиране АЕ;1;1;3;М;ФА
2017;2213350;3502;Компютърни мрежи АЕ;1;1;3;М;ФА
2017;2205407;4071;Промишлена електроника АЕ;1;1;3;М;ФА
2017;2205407;4072;Микропроцесорна техника АЕ;1;1;3;М;ФА
2017;2205407;4073;Компютърна техника и технологии АЕ;2;1;3;М;ФА
2017;2205407;4074;Компютърни мрежи АЕ;2;1;3;М;ФА
2017;2205407;4075;Системно програмиране АЕ;1;1;3;М;ФА
2017;2205407;4076;Възобновяеми енергийни източници АЕ;1;1;3;М;ФА
2017;2205407;4077;Приложно програмиране (дуално) АЕ;1;1;3;М;ФА
2017;2223431;4311;Телекомуникационни системи АЕ;1;1;3;М;ФА
2017;2223431;4312;Оптически комуникационни системи АЕ;1;1;3;М;ФА
2017;2223431;4313;Компютърна техника и технологии АЕ;1;1;3;М;ФА
2017;2223431;4314;Компютърни мрежи АЕ;1;1;3;М;ФА
2017;2223431;4315;Системно програмиране АЕ;1;1;3;М;ФА
2017;2223431;4316;Икономическа информатика АЕ;1;1;3;М;ФА
2017;2223431;4317;Приложно програмиране АЕ;1;1;3;М;ФА
2017;2206410;4101;Телекомуникационни системи АЕ;1;1;3;М;ФА
2017;2206410;4102;Компютърна техника и технологии АЕ;1;1;3;М;ФА
2017;2206410;4103;Компютърни мрежи АЕ;1;1;3;М;ФА
2017;2206410;4104;Приложно програмиране АЕ;1;1;3;М;ФА
2017;2206410;4105;Микропроцесорна техника АЕ;1;1;3;М;ФА
2017;2217424;4241;Компютърни мрежи АЕ;1;2;2;БЕЛ;М
2017;2217424;4242;Компютърна техника и технологии АЕ;1;2;2;БЕЛ;М
2017;2217424;4243;Системно програмиране АЕ;2;2;2;БЕЛ;М
2017;2217424;4244;Програмно осигуряване АЕ;1;2;2;БЕЛ;М
2017;2213128;1281;Софтуерни и хардуерни науки АЕ;1;2;2;БЕЛ;М
2017;2213039;0391;Софтуерни и хардуерни науки АЕ;1;1;3;М;АЕ
2018;2213350;3501;Системно програмиране АЕ;3;1;3;М;ФА
2018;2213350;3502;Компютърни мрежи АЕ;1;1;3;М;ФА
2018;2205407;4071;Промишлена електроника АЕ;1;1;3;М;ФА
2018;2205407;4072;Микропроцесорна техника АЕ;1;1;3;М;ФА
2018;2205407;4073;Компютърна техника и технологии АЕ;2;1;3;М;ФА
2018;2205407;4074;Компютърни мрежи АЕ;2;1;3;М;ФА
2018;2205407;4075;Системно програмиране АЕ;1;1;3;М;ФА
