yr;school_id;class_id;class_name;min_rank;max_rank
2025;2216306;4486;Математически (математика и физика) - АЕ (РИЧЕ);493.25;500
2025;2216306;2277;Математически (математика и информатика) - АЕ (РИЧЕ);490.5;500
2025;2216306;5011;Математически (математика и физика) - НЕ (ИИЧЕ);490;499.5
2025;2211304;814;Математически - АЕ М Инф;488;499
2025;2211304;821;Математически - НЕ М Инф;487.5;498
2025;2216306;3909;Математически (математика и информатика) - НЕ (ИИЧЕ);487.5;498.5
2025;2216164;2561;Чужди езици - ИЕ интензивно, АЕ;475.5;495
2025;2213350;4922;Програмиране на изкуствен интелект - АЕ, НЕ;474.75;496
2025;2211304;843;Природни науки - АЕ ХООС БЗО;472.2;492.73
2025;2213350;4921;Системно програмиране - АЕ, НЕ;471.75;497
2025;2204091;2644;Чужди езици - НЕ интензивно, АЕ;468.5;498
2025;2213350;2127;Системно програмиране - АЕ, РЕ;467.25;487.5
2025;2216164;2564;Чужди езици - ИЕ интензивно, ИтЕ;467;498
2025;2211304;847;Икономическо развитие - АЕ ГИ М;465;494
2025;2213350;2132;Компютърни мрежи - АЕ, РЕ;464.25;494
2025;2224073;2658;Чужди езици - НЕ интензивно, АЕ;463.5;486.5
2025;2216164;2562;Чужди езици - ИЕ интензивно, ФЕ;461.5;494
2025;2216164;2569;Чужди езици - ИЕ интензивно, ПортЕ;461;483.5
2025;2211419;719;Строителство и архитектура - АЕ;460.75;496
2025;2211304;835;Природни науки - АЕ БЗО ХООС;458.72;493.5
2025;2211304;830;Математически - АЕ ФА М;458.38;491.61
2025;2224073;5128;Математически - НЕ интензивно, РЕ, М и ФА;457;473.5
2025;2224073;2656;Чужди езици - НЕ интензивно, ФЕ;456.5;480
2025;2206302;2018;Чужди езици - АЕ интензивно, НЕ;453;482.5
2025;2211419;973;Строителство и архитектура - НЕ;452.75;492.75
2025;2206302;2025;Чужди езици АЕ интензивно, ИЕ;452;490.5
2025;2224432;1292;Интериорен дизайн - ИтЕ;451;477.5
2025;2205407;2328;Системно програмиране - АЕ, НЕ;451;482.5
2025;2216301;727;Чужди езици - АЕ интензивно, НЕ;450.5;495
2025;2224073;5127;Обществени науки - НЕ интензивно, РЕ, ИЦ и ГИ;449;475.5
2025;2216301;3349;Предприемачески - АЕ интензивно, НЕ;448.5;485
2025;2216301;672;Чужди езици - АЕ интензивно, ИЕ;448;490
2025;2205407;2338;Приложно програмиране - АЕ, НЕ;447.75;479.75
2025;2206302;2034;Чужди езици - АЕ интензивно, РЕ;447.5;464.5
2025;2224022;4766;Хуманитарен - БЕЛ/Фил, ИЕ интензивно, АЕ;445.5;474
2025;2216301;649;Чужди езици - АЕ интензивно, РЕ;443.5;465.5
2025;2209051;3998;Компютърна анимация - АЕ интензивно, ИтЕ;443;473.5
2025;2216301;752;Чужди езици - АЕ интензивно, ФЕ;442;498
2025;2224432;3856;Интериорен дизайн - ФЕ;440.25;457.5
2025;2221031;2766;Чужди езици - ИЕ интензивно, АЕ;440;469.5
2025;2222009;2168;Чужди езици - ФЕ интензивно, НЕ;440;475
2025;2209051;2291;Изобразително изкуство - АЕ интензивно, ИтЕ;439.25;487
2025;2222009;2158;Чужди езици - ФЕ интензивно, АЕ;438.5;484
2025;2205407;4140;Програмиране на роботи - АЕ, НЕ;437;466.5
2025;2211035;388;Чужди езици - НЕ интензивно, РЕ;436;455
2025;2221031;2755;Чужди езици - АЕ интензивно, ИЕ;435.5;466.5
2025;2209051;2276;Компютърна графика - АЕ интензивно, Японски език;435;498
2025;2222009;2163;Чужди езици - ФЕ интензивно, ИЕ;435;482
2025;2224022;3635;Природни науки БЗО, ХООС, ИЕ - интензивно, АЕ;433.5;466
2025;2211419;762;Геодезия - АЕ;433.5;459.25
2025;2222009;4338;Чужди езици - ФЕ интензивно, Латински език;432.5;461
2025;2224433;751;Банково дело - АЕ интензивно, ИЕ;432.5;490
2025;2211304;4091;Природни науки - НЕ БЗО ХООС;431.32;478.96
2025;2204018;1637;Чужди езици - ЯЕ интензивно, АЕ;431;478.5
2025;2224022;3017;Природни науки - Биол, Хим, АЕ интензивно, НЕ;431;454
2025;2224022;2565;Хуманитарен - БЕЛ/Фил, АЕ интензивно, ИЕ;431;453.5
2025;2204032;3372;Природни науки - АЕ интензивно, ИЕ, БЗО и ХООС;431;461.5
2025;2211035;390;Чужди езици - ФЕ интензивно, РЕ;430.5;455.5
2025;2224022;4767;Обществени науки - Ист/Фил, ИЕ интензивно, АЕ;430;455.5
2025;2221031;2759;Чужди езици - НЕ интензивно, АЕ;429;454
2025;2222133;2269;Чужди езици - АЕ интензивно, РЕ;428.5;452.5
2025;2204032;3371;Софтуерни и хардуерни науки - АЕ интензивно, НЕ;428;462.5
2025;2211035;389;Чужди езици - интензивно НЕ, РЕ;428;459
2025;2204032;2771;Чужди езици - АЕ интензивно, НЕ;427;458
2025;2204032;2773;Чужди езици - АЕ интензивно, ИЕ;426.5;465
