id;name
АЕ;Английски език
АрЕ;Арабски език
БЕЛ;Български език и летература
БЗО;Биология и здравно образование
ГИ;География и икономика
ГрЕ;Гръцки език
ДатЕ;Датски език
ИЕ;Испански език
ИИ;Изобразително изкуство
ИТ;Информационни технологии
ИЦ;История и цивилизации
Ив;Иврит
Инф;Информатика
ИтЕ;Италиански език
КитЕ;Китайски език
КорЕ;Корейски език
М;Математика
Муз;Музика
НЕ;Немски език
НорвЕ;Норвежки език
ПортЕ;Португалски език
Пр;Предприемачество
РЕ;Руски език
РумЕ;Румънски език
Тех;Технологии
ФА;Физика и астрономия
ФВС;Физическо възпитание и спорт
ФЕ;Френски език
Фил;Философия
ХООС;Химия и опазване на околната среда
ЧЕз;Чужд език
ЯЕ;Японски език
